stop_id,stop_name,stop_lat,stop_lon,location_type
15873,"Fin de ruta",20.9691890,-89.6214491,0
17000,"C-71 x 86 Col. Centro",20.9627300,-89.6400580,0
16039,"C-103 x 64-A Delio Moreno Cantón",20.9421296,-89.6337558,0
17209,"Golden Island",21.0157740,-89.6079820,0
15901,"Parque de María Luisa",20.9350663,-89.6059568,0
17055,"JAPAY Pozo Kukulkan",20.9476850,-89.5926060,0
16337,"C-28-A Diag. x 13 Col. San Damian",20.9934075,-89.6373449,0
15846,"Fin de ruta",20.9693265,-89.6214329,0
16418,"C-15 x 20 Col. Yucatán",20.9965200,-89.6253300,0
16156,"Av. Mérida 2000 x 67",20.9606304,-89.6633456,0
17008,"C-69 x 58 Col. Centro",20.9622739,-89.6230165,0
16153,"Soriana Av. Mérida 2000",20.9723684,-89.6635068,0
16258,"SEFOET Norte",21.0527300,-89.6406500,0
15997,"Av. Mérida 2000 x 61",20.9643733,-89.6637264,0
16961,"INFRA",20.9174020,-89.7031960,0
15914,"Tienda China City",20.9917967,-89.6520964,0
14477,"Nueva Kukulcán",20.9376831,-89.5842260,0
16894,"Parque Almendros III",20.9908960,-89.7104730,0
16241,"Capilla San Juan Pablo",21.0689100,-89.6568800,0
15795,"Fin de ruta",20.9691088,-89.6214652,0
15928,"Av. Fidel Velázquez x 14",20.9649441,-89.5851911,0
16028,"PROVI",20.9844436,-89.5719683,0
16669,"Av. Yucatan x Periferico",21.0207650,-89.5670450,0
16592,"Plaza Odara",21.0088920,-89.5766700,0
16088,"C-40 x 25 Residencial Los Pinos",21.0035354,-89.5789848,0
16380,"AV. Alfredo Barrera x 56",20.9986500,-89.6563900,0
16713,"Universidad Humanitas Campus Mérida",21.0062620,-89.6928490,0
16373,"ISSSTE Hospital Regional Mérida",20.9951100,-89.6411300,0
15789,"Fin de ruta",20.9693743,-89.6214062,0
16220,"Oficinas Va y Ven",20.9814700,-89.6247600,0
16618,"​Circuito Colonias x 16",20.9655370,-89.6503480,0
17006,"Coppel Itzáes",20.9499330,-89.6485260,0
16434,"C-21 X 28 Col. Chuburna",21.0124200,-89.6413600,0
16162,"Escuela Normal de Educación Primaria",20.9852551,-89.6633994,0
16815,"Universidad Humanitas Campus Mérida",21.0059920,-89.6928050,0
16599,"Preparatoria 2 UADY",20.9809650,-89.6549550,0
17082,"Jardines del Recuerdo",20.9422160,-89.6482930,0
16634,"Av. Felipe Carrillo Puerto x 17-A",20.9930430,-89.6033220,0
17130,"Mayapán",20.9806688,-89.5948207,0
16082,"C-21 x 38 Los Reyes",20.9766499,-89.5744412,0
11893,"42 Sur",20.9230025,-89.6053031,0
16979,"ACEROFERTAS",20.9047140,-89.7211860,0
16222,"Secretaria de Desarrollo Sustentable",20.9733800,-89.6246400,0
16344,"Clinica Mérida",20.9863100,-89.6391600,0
16498,"C-20-B x 3-A Col. Xcumpich",21.0384621,-89.6346998,0
17048,"Plaza Oriente",20.9593920,-89.5910280,0
16663,"Av. Benito Juárez x Av. Pedro Sainz de Baranda",20.9320310,-89.6748860,0
16250,"Plaza Akrópolis",21.0616100,-89.6459800,0
16969,"Galletera DONDÉ",20.9141350,-89.7089480,0
16816,"Casa Santos Lugo Ciudad Caucel",21.0009150,-89.7095200,0
16439,"Centro Medico INMOE",21.0122000,-89.6370300,0
15853,"TAME 68",20.9627500,-89.6293670,0
16148,"Estación de Servicio Oktan",20.9866230,-89.6582705,0
14411,"Santa Cruz Palomeque",20.8952106,-89.6698689,0
16518,"TECNO TERMA Parque Industrial",21.0627600,-89.6400300,0
16111,"C-29 x 36-A San Ramón Norte",21.0327620,-89.6086750,0
16200,"Puente Temozón Norte",21.0588900,-89.6316300,0
732,"CARD",20.9389488,-89.6024649,0
16433,"C-21 Diagn. X 34-A Col. San Luis",21.0126000,-89.6458800,0
15986,"Bodega Aurrera Fco. De Montejo",21.0304310,-89.6405330,0
17182,"C-52 x Av. Perez Ponce Col. Centro",20.9840690,-89.6142180,0
17079,"Cto. Colonias x 64-D",20.9378810,-89.6364510,0
15830,"Fiscalía",20.9564251,-89.6981388,0
16732,"Carl's Jr. Ciudad Caucel",21.0003600,-89.6807350,0
16493,"Glorieta Siglo XXI",21.0341766,-89.6317225,0
16968,"El Zaguan",20.8901080,-89.7407950,0
16572,"Inicio de ruta",20.9669599,-89.6196681,0
16000,"CONALEP II",20.9477106,-89.6570693,0
15954,"Campo de Futbol El Fénix",20.9646388,-89.5826861,0
17026,"Esc. Prim. Lic. Nicolás Moguel",20.8878366,-89.7440753,0
15188,"San Francisco Porvenir",21.0055710,-89.6664838,0
